A150-4321-Dr.Othman Turk-097368263-2500.000000
A151-5324-Dr.Omran Ali-093728362-2000.000000
A152-2742-Dr.Hassan Kleef-096738234-2000.000000
A153-1234-Dr.Ali Da3da3-093728392-2000.000000
A154-3421-Dr.Ahmad Dab3on-093782923-2000.000000
A155-8393-Dr.Mohammed Sharta7-097382934-2000.000000
A156-4325-Dr.Kaser AlSa3ed-094738293-2000.000000
A157-8249-Dr.Monir Joha-093782934-2000.000000
A158-8756-Dr.Anas Hmaidy-090668535-2000.000000
A159-9745-Dr.Rami Fitnnes-096573535-2000.000000
A160-3462-Abdo kordi-238472-1000.000000
A161-4632-Abooda Magmoma-094728392-500.000000
A162-2414-Khaled Abdo-0523983-300.000000
